neighborhood,x2010_density,x2010_diversity_index,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_density,x2020_diversity_index,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,x2010_vap,x2010_vap_hisp,x2010_vap_white_non_hisp,x2010_vap_black_non_hisp,x2010_vap_aian_non_hisp,x2010_vap_asian_non_hisp,x2010_vap_nhpi_non_hisp,x2010_vap_other_non_hisp,x2010_vap_two_plus_non_hisp,x2010_u18,x2010_u18_hisp,x2010_u18_white_non_hisp,x2010_u18_black_non_hisp,x2010_u18_aian_non_hisp,x2010_u18_asian_non_hisp,x2010_u18_nhpi_non_hisp,x2010_u18_other_non_hisp,x2010_u18_two_plus_non_hisp,x2010_hu,x2010_hu_occupied,x2010_hu_vacant,x2010_vacancy_rate,x2020_vap,x2020_vap_hisp,x2020_vap_white_non_hisp,x2020_vap_black_non_hisp,x2020_vap_aian_non_hisp,x2020_vap_asian_non_hisp,x2020_vap_nhpi_non_hisp,x2020_vap_other_non_hisp,x2020_vap_two_plus_non_hisp,x2020_u18,x2020_u18_hisp,x2020_u18_white_non_hisp,x2020_u18_black_non_hisp,x2020_u18_aian_non_hisp,x2020_u18_asian_non_hisp,x2020_u18_nhpi_non_hisp,x2020_u18_other_non_hisp,x2020_u18_two_plus_non_hisp,x2020_hu,x2020_hu_occupied,x2020_hu_vacant,x2020_vacancy_rate,change_density,change_diversity_index,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,change_vap,change_vap_hisp,change_vap_white_non_hisp,change_vap_black_non_hisp,change_vap_aian_non_hisp,change_vap_asian_non_hisp,change_vap_nhpi_non_hisp,change_vap_other_non_hisp,change_vap_two_plus_non_hisp,change_u18,change_u18_hisp,change_u18_white_non_hisp,change_u18_black_non_hisp,change_u18_aian_non_hisp,change_u18_asian_non_hisp,change_u18_nhpi_non_hisp,change_u18_other_non_hisp,change_u18_two_plus_non_hisp,change_hu,change_hu_occupied,change_hu_vacant,change_vacancy_rate,change_share_total_density,change_share_total_diversity_index,change_share_total_pop_hisp,change_share_total_pop_white_non_hisp,change_share_total_pop_black_non_hisp,change_share_total_pop_aian_non_hisp,change_share_total_pop_asian_non_hisp,change_share_total_pop_nhpi_non_hisp,change_share_total_pop_other_non_hisp,change_share_total_pop_two_plus_non_hisp,change_share_total_vap_hisp,change_share_total_vap_white_non_hisp,change_share_total_vap_black_non_hisp,change_share_total_vap_aian_non_hisp,change_share_total_vap_asian_non_hisp,change_share_total_vap_nhpi_non_hisp,change_share_total_vap_other_non_hisp,change_share_total_vap_two_plus_non_hisp,change_share_total_u18,change_share_total_u18_hisp,change_share_total_u18_white_non_hisp,change_share_total_u18_black_non_hisp,change_share_total_u18_aian_non_hisp,change_share_total_u18_asian_non_hisp,change_share_total_u18_nhpi_non_hisp,change_share_total_u18_other_non_hisp,change_share_total_u18_two_plus_non_hisp,change_share_total_hu,change_share_total_hu_occupied,change_share_total_hu_vacant,change_share_total_vacancy_rate,x2020_pop_hisp_perc,x2020_pop_white_non_hisp_perc,x2020_pop_black_non_hisp_perc,x2010_pop_hisp_perc,x2010_pop_white_non_hisp_perc,X2010_pop_black_non_hisp_perc,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed
Abell,8134,27,1093,43,740,183,2,89,1,5,31,7786,31,1046,65,658,148,1,106,0,4,65,960,40,658,148,2,87,1,3,21,133,3,82,34,0,2,0,2,10,586,508,78,7,920,49,595,122,0,103,0,4,47,126,15,63,26,1,3,0,0,17,545,488,57,6,-4.28,14.81,-4.3,51.16,-11.08,-19.13,-50,19.1,-100,-20,109.68,-4.17,22.5,-9.57,-17.57,-100,18.39,-100,33.33,123.81,-5.26,400,-23.17,-23.53,Inf,50,NA,-100,70,-7,-3.94,-26.92,-14.29,-31.84,0.37,2.01,-7.5,-3.2,-0.09,1.56,-0.09,-0.09,3.11,0.94,-6.56,-2.71,-0.21,1.67,-0.1,0.1,2.71,-5.26,9.02,-14.29,-6.02,0.75,0.75,0,-1.5,5.26,-3.75,-1.83,-1.92,-0.09,6.21,62.91,14.15,3.93,67.7,16.74,Majority White,Majority White,No
Allendale,8675,3,4031,26,19,3942,9,5,0,0,30,7343,8,3413,39,41,3254,10,7,1,5,56,3091,18,17,3027,7,4,0,0,17,941,8,3,916,2,1,0,0,12,1786,1562,223,11,2702,18,30,2592,8,5,1,5,43,710,21,11,662,2,2,0,0,13,1731,1421,310,16,-15.35,166.67,-15.33,50,115.79,-17.45,11.11,40,Inf,Inf,86.67,-12.58,0,76.47,-14.37,14.29,25,Inf,Inf,152.94,-24.55,162.5,266.67,-27.73,0,100,NA,NA,8.33,-3.08,-9.03,39.01,45.45,-33.04,0.12,0.32,0.55,-17.07,0.02,0.05,0.02,0.12,0.65,0,0.42,-14.07,0.03,0.03,0.03,0.16,0.84,-24.55,1.38,0.85,-26.99,0,0.11,0,0,0.11,-1.36,-3.5,2.16,0.12,1.14,1.2,95.34,0.65,0.47,97.79,Majority Black,Majority Black,No
Arcadia,2881,35,1059,26,472,509,3,12,0,2,35,2660,37,978,46,412,447,1,15,0,4,53,808,20,402,358,1,10,0,0,18,250,6,70,151,2,2,0,2,17,448,402,46,6,774,33,354,339,1,13,0,3,31,203,12,57,108,0,3,0,0,23,421,379,42,6,-7.67,5.71,-7.65,76.92,-12.71,-12.18,-66.67,25,NA,100,51.43,-4.21,65,-11.94,-5.31,0,30,NA,Inf,72.22,-18.8,100,-18.57,-28.48,-100,50,NA,-100,35.29,-6.03,-5.72,-8.7,0,-20.87,0.19,1.89,-5.67,-5.85,-0.19,0.28,0,0.19,1.7,1.61,-5.94,-2.35,0,0.37,0,0.37,1.61,-18.8,2.4,-5.2,-17.2,-0.8,0.4,0,-0.8,2.4,-2.55,-2.17,-0.38,0,4.7,42.13,45.71,2.46,44.57,48.06,Majority Minority,Majority Minority,No
Arlington,11087,8,2482,17,61,2352,3,8,0,3,39,9265,13,2083,46,66,1884,5,22,1,1,58,1924,14,53,1821,2,5,0,2,27,559,4,8,531,0,3,0,1,13,1213,1023,191,12,1737,34,61,1575,5,19,1,1,42,346,12,5,309,0,3,0,0,16,1173,966,207,14,-16.43,62.5,-16.08,170.59,8.2,-19.9,66.67,175,Inf,-66.67,48.72,-9.72,142.86,15.09,-13.51,150,280,Inf,-50,55.56,-38.1,200,-37.5,-41.81,NA,0,NA,-100,23.08,-3.3,-5.57,8.38,16.67,-73.41,0.2,1.17,0.2,-18.86,0.08,0.56,0.04,-0.08,0.77,1.04,0.42,-12.79,0.16,0.73,0.05,-0.05,0.78,-38.1,1.43,-0.54,-39.71,0,0,0,-0.18,0.54,-1.61,-2.3,0.64,0.08,2.21,3.17,90.45,0.68,2.46,94.76,Majority Black,Majority Black,No
Armistead Gardens,5061,42,2611,640,1765,121,18,10,3,1,54,5652,50,2910,1437,1116,193,7,29,0,19,109,1969,392,1459,75,11,10,2,0,20,641,248,306,45,7,0,1,1,34,1162,1095,67,6,2067,889,941,134,5,17,0,13,68,842,547,176,58,2,12,0,6,41,1172,1069,104,8,11.68,19.05,11.45,124.53,-36.77,59.5,-61.11,190,-100,1800,101.85,4.98,126.79,-35.5,78.67,-54.55,70,-100,Inf,240,31.36,120.56,-42.48,28.89,-71.43,Inf,-100,500,20.59,0.86,-2.37,55.22,33.33,22.64,0.31,30.52,-24.86,2.76,-0.42,0.73,-0.11,0.69,2.11,25.24,-26.31,3,-0.3,0.36,-0.1,0.66,2.44,31.36,46.65,-20.28,2.03,-0.78,1.87,-0.16,0.78,1.09,0.38,-1,1.42,0.08,49.38,38.35,6.63,24.51,67.6,4.63,Majority Minority,Majority White,Yes
Ashburton,5379,4,3528,42,35,3398,5,9,1,7,30,4753,9,3117,79,48,2856,13,16,3,10,93,2790,33,30,2685,5,9,1,4,24,738,10,5,712,1,1,0,3,6,1595,1472,123,4,2539,55,48,2346,11,10,3,4,61,579,24,0,509,2,6,0,5,32,1505,1360,144,5,-11.64,125,-11.65,88.1,37.14,-15.95,160,77.78,200,42.86,210,-9,66.67,60,-12.63,120,11.11,200,0,154.17,-21.54,140,-100,-28.51,100,500,NA,66.67,433.33,-5.64,-7.61,17.07,25,-17.74,0.14,1.05,0.37,-15.36,0.23,0.2,0.06,0.09,1.79,0.79,0.65,-12.15,0.22,0.04,0.07,0,1.33,-21.54,1.9,-0.68,-27.51,0.14,0.68,0,0.27,3.52,-2.55,-3.17,0.6,0.03,2.53,1.54,91.63,1.19,0.99,96.32,Majority Black,Majority Black,No
Baltimore Highlands,10334,35,1346,510,521,245,13,25,2,0,29,11444,30,1493,890,371,161,7,25,0,6,34,1048,370,476,148,12,24,2,0,15,299,140,46,97,1,1,0,0,14,608,476,132,11,1102,573,337,134,5,22,0,5,25,392,317,34,27,1,3,0,1,9,607,516,92,8,10.74,-14.29,10.92,74.51,-28.79,-34.29,-46.15,0,-100,Inf,17.24,5.15,54.86,-29.2,-9.46,-58.33,-8.33,-100,Inf,66.67,31.1,126.43,-26.09,-72.16,0,200,NA,Inf,-35.71,-0.16,8.4,-30.3,-27.27,82.47,-0.37,28.23,-11.14,-6.24,-0.45,0,-0.15,0.45,0.37,19.37,-13.26,-1.34,-0.67,-0.19,-0.19,0.48,0.95,31.1,59.2,-4.01,-23.41,0,0.67,0,0.33,-1.67,-0.07,2.97,-2.97,-0.22,59.61,24.85,10.78,37.89,38.71,18.2,Majority Hispanic,Majority Minority,Yes
Barclay,16789,43,2062,84,405,1497,8,27,1,2,38,22573,64,2704,197,698,1622,5,51,1,11,119,1675,72,386,1154,6,26,1,2,27,388,11,19,343,2,1,0,0,11,1367,873,494,47,2185,162,652,1216,4,48,0,10,93,519,35,46,405,1,3,0,1,27,1415,1205,210,18,34.45,48.84,31.13,134.52,72.35,8.35,-37.5,88.89,0,450,213.16,30.45,125,68.91,5.37,-33.33,84.62,-100,400,244.44,33.76,218.18,142.11,18.08,-50,200,NA,Inf,145.45,3.51,38.03,-57.49,-61.7,280.5,1.02,5.48,14.21,6.06,-0.15,1.16,0,0.44,3.93,5.37,15.88,3.7,-0.12,1.31,-0.06,0.48,3.94,33.76,6.19,6.96,15.98,-0.26,0.52,0,0.26,4.12,2.33,16.1,-13.77,-1.41,7.29,25.81,59.99,4.07,19.64,72.6,Majority Black,Majority Black,No
Barre Circle,841,4,150,4,51,86,0,4,0,1,3,796,4,146,11,41,80,1,6,0,1,6,122,3,48,65,0,4,0,0,2,28,1,3,21,0,0,0,0,1,90,68,22,2,122,8,38,63,1,6,0,1,4,24,2,3,16,0,0,0,0,2,85,67,18,2,-5.35,0,-2.67,175,-19.61,-6.98,Inf,50,NA,0,100,0,166.67,-20.83,-3.08,Inf,50,NA,Inf,100,-14.29,100,0,-23.81,NA,NA,NA,NA,100,-5.56,-1.47,-18.18,0,-30,0,4.67,-6.67,-4,0.67,1.33,0,0,2,4.1,-8.2,-1.64,0.82,1.64,0,0.82,1.64,-14.29,3.57,0,-17.86,0,0,0,0,3.57,-3.33,-0.67,-2.67,0,7.53,28.08,54.79,2.67,34,57.33,Majority Black,Majority Black,No
Bayview,295,4,366,92,226,25,1,13,0,1,8,358,5,445,230,147,41,1,12,0,3,11,293,63,194,19,1,10,0,1,5,73,29,31,6,0,3,0,1,3,164,145,19,1,325,143,132,32,1,10,0,1,7,120,87,15,9,0,2,0,2,4,173,157,16,1,21.36,25,21.58,150,-34.96,64,0,-7.69,NA,200,37.5,10.92,126.98,-31.96,68.42,0,0,NA,0,40,64.38,200,-51.61,50,NA,-33.33,NA,100,33.33,5.49,8.28,-15.79,0,17.21,0.27,37.7,-21.58,4.37,0,-0.27,0,0.55,0.82,27.3,-21.16,4.44,0,0,0,0,0.68,64.38,79.45,-21.92,4.11,0,-1.37,0,1.37,1.37,2.46,3.28,-0.82,0,51.69,33.03,9.21,25.14,61.75,6.83,Majority Hispanic,Majority White,Yes
